date,GS7
1969-07-01,6.8
1969-08-01,6.79
1969-09-01,7.36
1969-10-01,7.24
1969-11-01,7.17
1969-12-01,7.51
1970-01-01,7.73
1970-02-01,7.51
1970-03-01,7.13
1970-04-01,7.45
1970-05-01,7.93
1970-06-01,7.84
1970-07-01,7.61
1970-08-01,7.59
1970-09-01,7.4
1970-10-01,7.32
1970-11-01,6.76
1970-12-01,6.23
1971-01-01,6.16
1971-02-01,5.94
1971-03-01,5.42
1971-04-01,5.87
1971-05-01,6.42
1971-06-01,6.65
1971-07-01,6.92
1971-08-01,6.67
1971-09-01,6.2
1971-10-01,5.98
1971-11-01,5.94
1971-12-01,5.97
1972-01-01,5.91
1972-02-01,5.99
1972-03-01,6.05
1972-04-01,6.22
1972-05-01,6.07
1972-06-01,6.06
1972-07-01,6.09
1972-08-01,6.19
1972-09-01,6.43
1972-10-01,6.35
1972-11-01,6.18
1972-12-01,6.2
1973-01-01,6.36
1973-02-01,6.6
1973-03-01,6.76
1973-04-01,6.67
1973-05-01,6.83
1973-06-01,6.81
1973-07-01,7.23
1973-08-01,7.52
1973-09-01,7.08
1973-10-01,6.78
1973-11-01,6.89
1973-12-01,6.77
1974-01-01,6.88
1974-02-01,6.92
1974-03-01,7.34
1974-04-01,7.77
1974-05-01,7.93
1974-06-01,7.9
1974-07-01,8.19
1974-08-01,8.41
1974-09-01,8.25
1974-10-01,7.92
1974-11-01,7.68
1974-12-01,7.38
1975-01-01,7.45
1975-02-01,7.3
1975-03-01,7.58
1975-04-01,8.1
1975-05-01,7.9
1975-06-01,7.69
1975-07-01,7.99
1975-08-01,8.37
1975-09-01,8.39
1975-10-01,8.06
1975-11-01,7.98
1975-12-01,7.93
1976-01-01,7.67
1976-02-01,7.72
1976-03-01,7.65
1976-04-01,7.44
1976-05-01,7.77
1976-06-01,7.75
1976-07-01,7.7
1976-08-01,7.58
1976-09-01,7.41
1976-10-01,7.16
1976-11-01,6.86
1976-12-01,6.37
1977-01-01,6.92
1977-02-01,7.16
1977-03-01,7.2
1977-04-01,7.11
1977-05-01,7.26
1977-06-01,7.05
1977-07-01,7.12
1977-08-01,7.24
1977-09-01,7.21
1977-10-01,7.44
1977-11-01,7.46
1977-12-01,7.59
1978-01-01,7.86
1978-02-01,7.94
1978-03-01,7.95
1978-04-01,8.06
1978-05-01,8.25
1978-06-01,8.4
1978-07-01,8.55
1978-08-01,8.38
1978-09-01,8.42
1978-10-01,8.64
1978-11-01,8.8
1978-12-01,9.03
1979-01-01,9.14
1979-02-01,9.11
1979-03-01,9.15
1979-04-01,9.21
1979-05-01,9.23
1979-06-01,8.86
1979-07-01,8.92
1979-08-01,9.05
1979-09-01,9.38
1979-10-01,10.47
1979-11-01,10.8
1979-12-01,10.42
1980-01-01,10.77
1980-02-01,12.53
1980-03-01,13.0
1980-04-01,11.49
1980-05-01,10.09
1980-06-01,9.45
1980-07-01,9.84
1980-08-01,10.95
1980-09-01,11.57
1980-10-01,11.79
1980-11-01,12.71
1980-12-01,13.0
1981-01-01,12.66
1981-02-01,13.28
1981-03-01,13.24
1981-04-01,13.85
1981-05-01,14.3
1981-06-01,13.67
1981-07-01,14.49
1981-08-01,15.22
1981-09-01,15.65
1981-10-01,15.33
1981-11-01,13.42
1981-12-01,13.62
1982-01-01,14.67
1982-02-01,14.46
1982-03-01,13.93
1982-04-01,13.94
1982-05-01,13.74
1982-06-01,14.47
1982-07-01,14.07
1982-08-01,13.14
1982-09-01,12.36
1982-10-01,10.88
1982-11-01,10.53
1982-12-01,10.49
1983-01-01,10.36
1983-02-01,10.56
1983-03-01,10.31
1983-04-01,10.29
1983-05-01,10.3
1983-06-01,10.83
1983-07-01,11.35
1983-08-01,11.77
1983-09-01,11.61
1983-10-01,11.47
1983-11-01,11.61
1983-12-01,11.78
1984-01-01,11.58
1984-02-01,11.75
1984-03-01,12.25
1984-04-01,12.56
1984-05-01,13.34
1984-06-01,13.56
1984-07-01,13.35
1984-08-01,12.75
1984-09-01,12.6
1984-10-01,12.16
1984-11-01,11.49
1984-12-01,11.45
1985-01-01,11.27
1985-02-01,11.44
1985-03-01,11.82
1985-04-01,11.34
1985-05-01,10.72
1985-06-01,10.08
1985-07-01,10.16
1985-08-01,10.2
1985-09-01,10.24
1985-10-01,10.11
1985-11-01,9.62
1985-12-01,9.11
1986-01-01,9.03
1986-02-01,8.58
1986-03-01,7.67
1986-04-01,7.16
1986-05-01,7.65
1986-06-01,7.75
1986-07-01,7.22
1986-08-01,7.01
1986-09-01,7.28
1986-10-01,7.24
1986-11-01,7.08
1986-12-01,6.97
1987-01-01,6.92
1987-02-01,7.06
1987-03-01,7.06
1987-04-01,7.83
1987-05-01,8.47
1987-06-01,8.27
1987-07-01,8.27
1987-08-01,8.59
1987-09-01,9.26
1987-10-01,9.37
1987-11-01,8.69
1987-12-01,8.82
1988-01-01,8.48
1988-02-01,8.02
1988-03-01,8.19
1988-04-01,8.52
1988-05-01,8.89
1988-06-01,8.78
1988-07-01,8.91
1988-08-01,9.13
1988-09-01,8.87
1988-10-01,8.69
1988-11-01,8.89
1988-12-01,9.13
1989-01-01,9.14
1989-02-01,9.23
1989-03-01,9.43
1989-04-01,9.24
1989-05-01,8.88
1989-06-01,8.31
1989-07-01,7.94
1989-08-01,8.11
1989-09-01,8.23
1989-10-01,8.03
1989-11-01,7.86
1989-12-01,7.85
1990-01-01,8.2
1990-02-01,8.48
1990-03-01,8.65
1990-04-01,8.81
1990-05-01,8.78
1990-06-01,8.52
1990-07-01,8.46
1990-08-01,8.64
1990-09-01,8.79
1990-10-01,8.59
1990-11-01,8.28
1990-12-01,8.0
1991-01-01,7.97
1991-02-01,7.73
1991-03-01,8.0
1991-04-01,7.92
1991-05-01,7.94
1991-06-01,8.17
1991-07-01,8.15
1991-08-01,7.74
1991-09-01,7.48
1991-10-01,7.25
1991-11-01,7.06
1991-12-01,6.69
1992-01-01,6.7
1992-02-01,6.96
1992-03-01,7.26
1992-04-01,7.15
1992-05-01,7.06
1992-06-01,6.9
1992-07-01,6.36
1992-08-01,6.12
1992-09-01,5.96
1992-10-01,6.15
1992-11-01,6.49
1992-12-01,6.46
1993-01-01,6.26
1993-02-01,5.87
1993-03-01,5.66
1993-04-01,5.59
1993-05-01,5.66
1993-06-01,5.61
1993-07-01,5.48
1993-08-01,5.35
1993-09-01,5.08
1993-10-01,5.05
1993-11-01,5.45
1993-12-01,5.48
1994-01-01,5.43
1994-02-01,5.72
1994-03-01,6.28
1994-04-01,6.8
1994-05-01,7.01
1994-06-01,6.91
1994-07-01,7.12
1994-08-01,7.06
1994-09-01,7.28
1994-10-01,7.58
1994-11-01,7.83
1994-12-01,7.8
1995-01-01,7.79
1995-02-01,7.44
1995-03-01,7.14
1995-04-01,6.95
1995-05-01,6.5
1995-06-01,6.05
1995-07-01,6.2
1995-08-01,6.41
1995-09-01,6.13
1995-10-01,5.97
1995-11-01,5.83
1995-12-01,5.63
1996-01-01,5.54
1996-02-01,5.64
